cluster,rank,gene
OV.081.specific,19,SLC6A20
OV.081.specific,20,CYP4B1
OV.081.specific,21,EIF3K
OV.081.specific,22,GSTP1
OV.081.specific,23,CSRP2
OV.081.specific,24,CNKSR3
OV.081.specific,25,EPB41L2
OV.081.specific,26,LINC00937
OV.081.specific,27,MFAP5
OV.081.specific,28,NPR3
OV.081.specific,29,CTSV
OV.081.specific,30,C2CD4B
OV.081.specific,31,NACA
OV.081.specific,32,PLEKHS1
OV.081.specific,33,RBP2
OV.081.specific,34,TSPAN8
OV.081.specific,35,PKHD1L1
OV.081.specific,36,IRX1
OV.081.specific,37,GLRX
OV.081.specific,38,HRASLS
OV.081.specific,39,AARD
OV.081.specific,40,SCGB2A2
OV.081.specific,41,SLC22A31
OV.081.specific,42,PROM1
OV.081.specific,43,C16orf74
OV.081.specific,44,TNFRSF18
OV.081.specific,45,MESP2
OV.081.specific,46,TNC
OV.081.specific,47,PGR
OV.081.specific,48,PTGER2
OV.081.specific,49,GLYATL2
OV.081.specific,50,PTGFR
